Study area (Union),Age,Gender,Marital Status,Education level,Occupation,Monthly Household Income (BDT),Household Type,Household Size,Have you experienced a cyclone before?, Distance to nearest cyclone shelter,Difficulty in accessing shelter during cyclone,Are women-friendly facilities available in cyclone shelters?,Women feel comfortable and safe in cyclone shelters,Are there any security issues in cyclone shelters?,"If yes, what types of security issues are experienced in cyclone shelters?",Security issues discourage women from using shelters,How effective is shelter management in ensuring safety?,What management problems exist?,Women’s mobility is restricted by family or social norms during cyclone events,Who usually makes the decision to evacuate to cyclone shelters?,Cyclone warning information is timely and clear,Main sources of cyclone warning information,Have you received any cyclone preparedness training?,Overall impact of cyclone on your household,Types of losses experienced,"Livelihood factors (e.g., livestock, income source) affect your decision to go to shelter",What are the main barriers to reaching cyclone shelters?,"In your opinion, why do women avoid cyclone shelters?",Suggested Improvements
Barabagi ,69,Male,Widowed,Illiterate,Farmer,"10,000–20,000",Bamboo/Wooden,6,Yes,1–2 km,Difficult,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Neutral,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Barabagi ,70,Male,Married,Illiterate,Farmer,"<5,000",Katcha,8,Yes,3–5 km,Very difficult,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Barabagi ,39,Male,Married,Graduation,Government Employee,">20,000",Pucca,7,Yes,1–2 km,Easy,Partially,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Barabagi ,18,Male,Married,Secondary,Farmer,"<5,000",Bamboo/Wooden,6,Yes,1–3 km,Difficult,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Barabagi ,67,Male,Married,Illiterate,Farmer,"5,000–10,000",Semi-pucca,7,Yes,1–3 km,Very difficult,No,Disagree,Yes,Overcrowding,Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",Yes,Severe,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Karaibaria ,18,Female,Single,Secondary,Student,"<5,000",Bamboo/Wooden,6,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Harassment, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources, Poor organization",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Strongly agree,"Fallen trees, Slippery road, No transport","Lack of food & water, Overcrowding, Livestock or asset concern, Physical limitation (pregnant/elderly/disabled), Childcare or elderly care burden","Clean toilets, Food & drinking water, Better security system, Medical services, Childcare facilities"
Karaibaria ,19,Female,Single,Secondary,Student,"<5,000",Katcha,6,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Neutral,Male head of household,Disagree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Strong current, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Karaibaria ,25,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,6,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Karaibaria ,31,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,7,Yes,<1 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Medical services"
Karaibaria ,35,Female,Married,Graduation,Government Employee,">20,000",Semi-pucca,6,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Long distance, Flooded roads, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management, Childcare or elderly care burden","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Childcare facilities"
Karaibaria ,40,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,8,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Strong current, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Karaibaria ,50,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,7,Yes,3–5 km,Moderate,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Disagree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance, Flooded roads, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Karaibaria ,61,Female,Married,Illiterate,Housewife,"<5,000",Katcha,6,Yes,1–3 km,Very difficult,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Karaibaria ,73,Female,Widowed,Illiterate,Housewife,"<5,000",Bamboo/Wooden,6,Yes,1–3 km,Very difficult,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, Strong current, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Karaibaria ,18,Male,Single,Secondary,Student,"<5,000",Semi-pucca,6,Yes,<1 km,Easy,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Karaibaria ,22,Male,Single,HSC equivalent,Business,"10,000–20,000",Pucca,6,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Strongly agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, Strong current, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Karaibaria ,31,Male,Married,Graduation,NGO worker,">20,000",Pucca,6,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, Long distance, Strong current, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Karaibaria ,50,Male,Married,Illiterate,Farmer,"5,000–10,000",Bamboo/Wooden,5,Yes,<1 km,Moderate,No,Agree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Long distance","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Karaibaria ,65,Male,Married,Illiterate,Fisherman,"5,000–10,000",Bamboo/Wooden,6,Yes,3–5 km,Very difficult,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Karaibaria ,71,Male,Married,Illiterate,Fisherman,"5,000–10,000",Bamboo/Wooden,9,Yes,1–3 km,Very difficult,No,Disagree,Yes,"Overcrowding, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
