Study area (Union),Age,Gender,Marital Status,Education level,Occupation,Monthly Household Income (BDT),Household Type,Household Size,Have you experienced a cyclone before?, Distance to nearest cyclone shelter,Difficulty in accessing shelter during cyclone,Are women-friendly facilities available in cyclone shelters?,Women feel comfortable and safe in cyclone shelters,Are there any security issues in cyclone shelters?,"If yes, what types of security issues are experienced in cyclone shelters?",Security issues discourage women from using shelters,How effective is shelter management in ensuring safety?,What management problems exist?,Women’s mobility is restricted by family or social norms during cyclone events,Who usually makes the decision to evacuate to cyclone shelters?,Cyclone warning information is timely and clear,Main sources of cyclone warning information,Have you received any cyclone preparedness training?,Overall impact of cyclone on your household,Types of losses experienced,"Livelihood factors (e.g., livestock, income source) affect your decision to go to shelter",What are the main barriers to reaching cyclone shelters?,"In your opinion, why do women avoid cyclone shelters?",Suggested Improvements
Nishanbaria ,45,Male,Married,Graduation,Government Employee,">20,000",Pucca,6,Yes,1–2 km,Easy,No,Disagree,Yes,Overcrowding,Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,52,Male,Married,HSC equivalent,Small business,"10,000–20,000",Pucca,6,Yes,1–2 km,Easy,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,60,Male,Married,Illiterate,Farmer,"5,000–10,000",Bamboo/Wooden,7,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Disagree,Male head of household,Agree,"Miking, Flag signal",No,High,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Better security system, Better management"
Nishanbaria ,70,Male,Married,Illiterate,Farmer,"5,000–10,000",Bamboo/Wooden,9,Yes,1–2 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Nishanbaria ,38,Male,Married,Primary,Business,"10,000–20,000",Bamboo/Wooden,5,Yes,<1 km,Easy,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,Slippery road,"Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Pachakoralia ,45,Female,Married,Primary,Housewife,"<5,000",Katcha,7,Yes,<1 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, More shelter capacity, Better management"
Pachakoralia ,18,Female,Single,Secondary,Student,"<5,000",Katcha,5,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Long distance, Flooded roads","Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management, Childcare or elderly care burden","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Childcare facilities"
Pachakoralia ,19,Female,Single,Secondary,Student,"<5,000",Bamboo/Wooden,7,Yes,1–3 km,Moderate,Partially,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Disagree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Lack of information","Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management, Childcare or elderly care burden","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Medical services"
Pachakoralia ,22,Female,Married,Primary,Housewife,"<5,000",Katcha,5,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Strong current, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Pachakoralia ,26,Female,Married,Secondary,Housewife,"<5,000",Bamboo/Wooden,6,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Flooded roads, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Pachakoralia ,32,Female,Married,HSC equivalent,Government Employee,"10,000–20,000",Semi-pucca,6,Yes,1–3 km,Difficult,No,Agree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,39,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,8,Yes,3–5 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Pachakoralia ,45,Female,Married,Illiterate,Housewife,"5,000–10,000",Bamboo/Wooden,6,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Long distance","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Pachakoralia ,60,Female,Widowed,Illiterate,Housewife,"<5,000",Katcha,7,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,75,Female,Widowed,Illiterate,Housewife,"<5,000",Bamboo/Wooden,8,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,No impact,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Strong current, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Pachakoralia ,18,Male,Single,Illiterate,Day laborer,"5,000–10,000",Bamboo/Wooden,5,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, Strong current, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,19,Male,Single,Secondary,Student,"<5,000",Semi-pucca,6,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Long distance, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,25,Male,Married,Secondary,Business,"10,000–20,000",Bamboo/Wooden,6,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,63,Male,Married,Illiterate,Farmer,"5,000–10,000",Bamboo/Wooden,8,Yes,3–5 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Neutral,"Miking, Flag signal",No,Severe,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Pachakoralia ,55,Male,Married,Illiterate,Fisherman,"5,000–10,000",Bamboo/Wooden,9,Yes,<1 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Neutral,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,37,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,6,Yes,<1 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,Severe,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sharikkhali ,33,Male,Married,Graduation,Government Employee,">20,000",Pucca,6,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sharikkhali ,18,Female,Single,Secondary,NGO worker,"<5,000",Bamboo/Wooden,6,Yes,1–3 km,Difficult,Partially,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Flooded roads, Lack of information","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sharikkhali ,20,Female,Single,HSC equivalent,Student,"<5,000",Katcha,7,Yes,<1 km,Difficult,Yes,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Neutral,Male head of household,Agree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,25,Female,Married,Primary,Housewife,"<5,000",Semi-pucca,6,Yes,<1 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,30,Female,Married,HSC equivalent,Government Employee,"10,000–20,000",Pucca,5,Yes,<1 km,Difficult,Partially,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Disagree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Long distance, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,33,Female,Married,Primary,Housewife Student,"<5,000",Bamboo/Wooden,5,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,41,Female,Married,Illiterate,Housewife,"5,000–10,000",Semi-pucca,8,Yes,3–5 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,58,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,8,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport, Long distance, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,61,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,9,Yes,3–5 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,72,Female,Divorced,Illiterate,Housewife,"<5,000",Katcha,9,Yes,1–3 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sharikkhali ,18,Male,Single,Secondary,Student,"5,000–10,000",Semi-pucca,6,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Slippery road, No transport","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,22,Male,Single,Secondary,Student,"<5,000",Katcha,6,Yes,<1 km,Easy,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,29,Male,Married,Primary,Day laborer,"5,000–10,000",Bamboo/Wooden,4,Yes,1–3 km,Easy,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Disagree,Male head of household,Disagree,"Miking, Flag signal",Yes,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, No transport, Strong current, Lack of information","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sharikkhali ,43,Male,Married,Graduation,NGO worker,">20,000",Pucca,5,Yes,1–3 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,Moderate,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Overcrowding, Poor sanitation, Poor shelter management","Separate rooms for women, Clean toilets, Better security system, Better management"
Sonakata ,18,Female,Single,Secondary,Student,">20,001",Bamboo/Wooden,5,Yes,1–2 km,Difficult,Partially,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Radio/TV, Miking, Flag signal, Mosque announcement, Mobile SMS",No,High,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Strong current, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,19,Female,Single,HSC equivalent,Student,">20,002",Bamboo/Wooden,7,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal, Mosque announcement, Mobile SMS",No,Severe,"Injury, Property loss, Psychological stress",Disagree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,25,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,4,Yes,1–2 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal, Mosque announcement, Mobile SMS",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,35,Female,Married,Illiterate,Housewife,"<5,000",Katcha,5,Yes,1–2 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Radio/TV, Miking, Flag signal",No,Severe,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sonakata ,30,Female,Married,Primary,Housewife,"<5,000",Bamboo/Wooden,5,Yes,<1 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Disagree,Joint decision,Disagree,"Radio/TV, Miking, Flag signal",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,30,Female,Married,Graduation,Government Employee,">20,000",Pucca,6,Yes,3–5 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal, Mosque announcement, Mobile SMS",Regular,Severe,"Injury, Property loss, Psychological stress",Disagree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,55,Female,Married,Illiterate,Housewife,"<5,000",Bamboo/Wooden,8,Yes,3–5 km,Very difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal, Mosque announcement, Mobile SMS",No,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, No transport, Long distance","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,63,Female,Widowed,Illiterate,Housewife,"<5,000",Katcha,8,Yes,1–2 km,Difficult,No,Agree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,High,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sonakata ,34,Female,Single,Illiterate,Housewife,"5,000–10,000",Bamboo/Wooden,6,Yes,3–5 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Very poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Miking, Flag signal",No,Severe,"Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sonakata ,29,Male,Married,Primary,Farmer,"5,000–10,000",Bamboo/Wooden,4,Yes,>5 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal, Mosque announcement",No,Severe,"Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sonakata ,45,Male,Married,Graduation,NGO worker,">20,000",Pucca,5,Yes,1–2 km,Moderate,Yes,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Joint decision,Agree,"Radio/TV, Miking, Flag signal",No,High,"Injury, Property loss, Psychological stress",Neutral,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,57,Male,Married,Illiterate,Small business,"5,000–10,000",Bamboo/Wooden,6,Yes,3–5 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Radio/TV, Miking, Flag signal",Yes,Severe,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Long distance, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,59,Male,Married,Illiterate,Farmer,"<5,000",Bamboo/Wooden,5,Yes,1–2 km,Moderate,No,Disagree,Yes,"Overcrowding, Theft, Lack of security personnel",Neutral,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Radio/TV, Miking, Flag signal",No,High,"Injury, Property loss, Psychological stress",Agree,"Fallen trees, Slippery road, Strong current","Lack of privacy or separate space, Lack of food & water, Overcrowding, No female-friendly support, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better security system, Better management"
Sonakata ,25,Female,Married,Secondary,Housewife,"<5,000",Bamboo/Wooden,4,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Very poor,"No monitoring, Lack of resources",Disagree,Joint decision,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sonakata ,36,Female,Married,Illiterate,Housewife,"<5,000",Katcha,6,Yes,1–3 km,Difficult,No,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Very poor,"No monitoring, Lack of resources",Agree,Male head of household,Agree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Agree,"Fallen trees, Slippery road","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sutobagi ,18,Female,Single,Secondary,Student,"<5,000",Bamboo/Wooden,6,Yes,1–2 km,Difficult,Partially,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Agree,Male head of household,Disagree,"Miking, Flag signal",No,High,"Injury, Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
Sutobagi ,19,Female,Single,Secondary,Student,"<5,000",Katcha,6,Yes,1–2 km,Difficult,Partially,Disagree,Yes,"Overcrowding, Theft, Harassment",Agree,Poor,"No monitoring, Lack of resources",Disagree,Male head of household,Agree,"Miking, Flag signal",Yes,High,"Injury, Property loss, Income loss, Psychological stress",Disagree,"Fallen trees, Slippery road, No transport, Flooded roads","Lack of privacy or separate space, Lack of food & water, Overcrowding, Poor sanitation","Separate rooms for women, Clean toilets, Food & drinking water, Better management"
